position_lat_gc_deg,position_long_gc_deg,position_h_sl_meters,attitude_roll_rad,attitude_pitch_rad,attitude_psi_rad,aero_alpha_rad,aero_beta_rad,velocities_p_rad_sec,velocities_q_rad_sec,velocities_r_rad_sec,fcs_aileron_cmd_norm,fcs_elevator_cmd_norm,fcs_throttle_cmd_norm,fcs_effective_aileron_pos,fcs_elevator_pos_rad,fcs_throttle_pos_norm,fcs_effective_aileron_pos_norm,fcs_elevator_pos_norm,reward_total,reward_roll,reward_pitch,reward_act_var,velocities_vt_mps,velocities_vt_kph,atmosphere_total_wind_north_mps,atmosphere_total_wind_east_mps,atmosphere_total_wind_down_mps,atmosphere_total_wind_north_kph,atmosphere_total_wind_east_kph,atmosphere_total_wind_down_kph,atmosphere_turb_north_mps,atmosphere_turb_east_mps,atmosphere_turb_down_mps,atmosphere_turb_north_kph,atmosphere_turb_east_kph,atmosphere_turb_down_kph,target_roll_rad,target_pitch_rad,error_roll_err,error_pitch_err,error_roll_integ_err,error_pitch_integ_err
-0.00010438287693010917,0.00016769830105774216,580.3680533226282,1.0786136882342392,-0.37152218635134415,4.704478434092845,0.11198575743448094,0.05167637752951513,0.04376562594455314,0.7414507908598834,0.6078212449614463,0.09068343043327332,-1.0,0.0,0.03998121688186758,-0.5234999999999999,0.27193436220764966,0.07637290411959434,-0.9999999605999997,-0.41828192498131334,0.03596442413253271,0.38231750084878063,nan,16.8609624260515,60.6999891397391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.11868259963735794,0.8602143769097564,0.25586008706211605,3.413860357955697
-0.00010449930836358294,0.00016635106824515897,580.291730801037,1.0753752214054664,-0.37335995155456797,4.71458063672869,0.11204313009004577,0.05010291354359214,0.0402081292369579,0.929647077933641,0.6126825450254596,0.10094890743494034,-1.0,0.0,0.045256021291704376,-0.5234999999999999,0.25866927136825213,0.08644893888943102,-0.9999999605999997,-0.41811735593160293,0.0349830705480561,0.3831342853835468,nan,16.896110199526504,60.826522217407444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.11544413280858512,0.8620521421129803,0.2547056457340302,3.422480879376827
-0.00010460291298310051,0.00016500044230298818,580.2151561588884,1.071425590556436,-0.37430865093935634,4.726496881918038,0.11373328426764423,0.048478686517346534,0.03831539993506317,1.1116684031367878,0.6168461896535055,0.11140527576208115,-1.0,0.0,0.05061054272103867,-0.5234999999999999,0.24605125813077644,0.09667725067236539,-0.9999999605999997,-0.4173421422695804,0.033786212715016604,0.3835559295545638,nan,16.93011871980097,60.94895394812106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.11149450195955479,0.8630008414977686,0.2535907007144347,3.431110887791805
-0.00010469320046135817,0.00016364650197091014,580.138359943691,1.0668141551161987,-0.37437102676440803,4.7401558671446065,0.1168675098063632,0.046814251329083977,0.03798395627019535,1.2857390167262124,0.6203999311606079,0.12208304554224014,-1.0,0.0,0.05605021956131341,-0.5234999999999999,0.2340487577341532,0.10706822799032428,-0.9999999605999997,-0.41597246017963246,0.032388808036156805,0.3835836521434757,nan,16.962856389876627,61.06681057859325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.10688306651931745,0.8630632173228203,0.2525218700492415,3.439741519965033
-0.00010476952400821932,0.00016228929900762753,580.0613817878366,1.0616007757547015,-0.3735574340682546,4.755466542844238,0.12125725892356816,0.04511915087280966,0.03917488257981548,1.4503464551820247,0.6233563074509259,0.13300277292728424,-1.0,0.0,0.06159160583466931,-0.5234999999999999,0.22263174516175552,0.11765349266085967,-0.9999999605999997,-0.4140310514980601,0.030808996108430367,0.3832220553896297,nan,16.994204573038076,61.179665012958786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.10166968715782021,0.8622496246266669,0.2515051731776633,3.4483640162112996
-0.00010483110264077663,0.00016092887196896035,579.9842694854647,1.055854844564685,-0.37188497521998853,4.772320940703206,0.12671646740956094,0.04340286028295985,0.041899826526848684,1.6042434116237518,0.6256691942434022,0.14416058361530304,-1.0,0.0,0.06725041100780688,-0.5234999999999999,0.2117716600319138,0.12846305321516846,-0.9999999605999997,-0.4115465451846843,0.029067804838728388,0.3824787403459559,nan,17.024058033481325,61.28713839905026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.09592375596780367,0.8605771657784008,0.25054593561798527,3.4569697878690837
-0.00010487704378652176,0.00015956525763012163,579.9070779750824,1.0496539386158972,-0.36937680138533263,4.79059722454699,0.13306369938356205,0.041675506582122636,0.046195526404755965,1.746445415074162,0.6272623935420294,0.15552480518817902,-1.0,0.0,0.07303282186313896,-0.5234999999999999,0.20144133515230828,0.13950872776627657,-0.9999999605999997,-0.408552738849447,0.027188742430004825,0.3813639964194422,nan,17.052325227609778,61.38890117707276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.08972285001901592,0.858068991943745,0.2496487071177951,3.465550477788521
-0.00010490636562343425,0.00015819850183083347,579.829868332404,1.0430820466256643,-0.36606163699286776,4.810162931328234,0.14017123792166958,0.03994832761292308,0.05209574646080989,1.8762238529594102,0.628060637812323,0.16703568398952484,-1.0,0.0,0.07893073155950342,-0.5234999999999999,0.19161492855951276,0.150775030467302,-0.9999999605999997,-0.40508785003151326,0.02519726000872213,0.37989059002279113,nan,17.07892013520083,61.48464367154953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.08315095802878303,0.85475382755128,0.24881719753750728,3.474098016064034
-0.00010491814088100241,0.0001568287020346521,579.7527004147857,1.036227425146253,-0.3619735028357138,4.830878319057389,0.14795175289605933,0.0382336983794291,0.05960720404895386,1.9930362594990032,0.6280159372977986,0.17860589921474457,-1.0,0.0,0.08492026159318325,-0.5234999999999999,0.18226785887368288,0.16221634813242586,-0.9999999605999997,-0.4011937434931586,0.023120101984658137,0.3780736415085005,nan,17.103764655491332,61.57408471730416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.07629633654937185,0.8506656933941261,0.24805423417201355,3.482604672997975
-0.00010491151760344373,0.0001554560096393628,579.6756316701204,1.0291804001715426,-0.35715186032182733,4.852599174188052,0.15621399492191346,0.03654462070946807,0.06869607180981914,2.0964725279835825,0.6271218559575904,0.19012725353240967,-1.0,0.0,0.09096244964829732,-0.5234999999999999,0.17337674380667398,0.17375825418219065,-0.9999999605999997,-0.39691532915121597,0.020984639871109486,0.3759306892801065,nan,17.126814563947697,61.65706510464027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599310885968813,0.4886921905584123,-0.0692493115746613,0.8458440508802396,0.24736174105626693,3.4910631135067773
